Disease,Symptom_1,Symptom_2,Symptom_3,Specialization,Name,State,City
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. TIRTHANI KIRAN,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. UMRETIA DITINA,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. VASAVADA SAMIR K.,GUJARAT,RAJKOT
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. VERMA B.S.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. VERMA SHYAM B.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. VINOD G.M.?,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. VISPUTE CHETAN R.,GUJARAT,VADODARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL AKHIKESH,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL BRAJESH,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL DEVESH,MADHYA PRADESH,SATNA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL MITESH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL N.S.,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL NITESH,MADHYA PRADESH,RATLAM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL PUNIT,MADHYA PRADESH,SATNA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL UMESH,MADHYA PRADESH,RATLAM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGRAWAL VISHAL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. ALEX ANNA,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. ALI S.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. ARORA SUREKHA,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BARUA SUBODH,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BHATI SURENDRA SINGH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BHATIA KAILASH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. BOHRA SAKINA,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHANDEL P.S.,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHAUHAN BHARAT SINGH,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHHABRA J.S.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHHATWAL P.S.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHOPRA MANISH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHOUDHARY MONIKA,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. CHOURASIYA B.K.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. COKHALE NARENDRA,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DABRA GOVIND PRASAD,MADHYA PRADESH,RATLAM
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DASHORE ANIL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DASHORE SHUKEN,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DAWANI G.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DEEWANI GHARIB,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DHANOTIA PRIYANKA,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DUBEY ANAND,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DUBEY JANARDAN,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DUBEY MURLI MANOHAR,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DUBEY SANJAY,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DUBEY SUNEET,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GAHARWAL R.S.,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GARG ANUBHAV,MADHYA PRADESH,MORENA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GARG M.P.,MADHYA PRADESH,NEEMUCH
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GOKHALE NARENDRA,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GOLE PRACHI VINAYAK,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GUPTA CHANDRAMOHAN,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GUPTA DEVENDRA KUMAR,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GUPTA SATISH CHANDRA,MADHYA PRADESH,KHARGONE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GUPTA SHARAD,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. GUPTA USHA,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. HEMNANI DILIP,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN APOORVA,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN ATUL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN PRIYA,MADHYA PRADESH,DAMOH
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN RAJEEV,MADHYA PRADESH,KHANDWA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN S.M.,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN SUBHASH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JAIN SUKHMAL,MADHYA PRADESH,GUNA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JOSHI MANISH,MADHYA PRADESH,NEEMUCH
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JUNEJA LALIT,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KATARIA RAJESH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KATHED ATUL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KAUSHLE VINOD,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHAN FAISAL AMAN,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHAN LIYAS HUSSIAN,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHARE SANJAY,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHETAN VIJAY,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHUSHRIAMANI HARISH,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KHUSHRIAMANI PRAKASH,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KOTHARI ARUNA,MADHYA PRADESH,CHHINDWARA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KOTHARI JAYESH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KOTHARI JAYESH,MADHYA PRADESH,KHARGONE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. KUMAR MAHESH,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. LUTHRA SACHIN,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MALPANI SUNEEL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MISHRA ANAMIKA,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MISHRA ANUP,MADHYA PRADESH,REWA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MISHRA G.K.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MISHRA R.K.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MISHRA R.N.,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MOHANA DEEPAK,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MUKHARJEE ASIT,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MUNDRA ANUP,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. MUTHA S.K.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. NAGAR RAHUL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. NAIL KEDAR,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. NARANG N.K.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. NOKOM ANIL,MADHYA PRADESH,MANDSAUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. OSWAL SIDHARTH,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDYA NITIN,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PANDYA VISHWA BHAWAN,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PARMANAND RAM,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATEL NARENDRA,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PATIDAR RASHMI,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. PUROHIT SANJAY,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RAI NEERAJ,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RAI NIMISH,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RAI PRAKASH,MADHYA PRADESH,SAGAR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RANE V.D.,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RATAN AMIT,MADHYA PRADESH,DEWAS
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RATHORE MANISH,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RATHORIYA SHYAMGOVIND KHUBCHAND,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RIYAZ AMIR,MADHYA PRADESH,SEONI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. ROY PRAKASH,MADHYA PRADESH,KATNI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAFDERI ZAINAB,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAIFY KHOZEMA,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAMDHANI SURESH,MADHYA PRADESH,UJJAIN
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SARASWAT DEVESH,MADHYA PRADESH,REWA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SARASWAT PRADEEP KUMAR,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAWANT SHANKAR,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAXENA DEEPALI,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAXENA KULDEEP,MADHYA PRADESH,GWALIOR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAXENA PRAVIN KUMAR,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SAXENA RAJEEV,MADHYA PRADESH,JABALPUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SEN PRIYANK,MADHYA PRADESH,MANDSAUR
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SETHI N.C.,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SETHI SHEETAL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SETHI SHEETAL,MADHYA PRADESH,DEWAS
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHAH AKHIL,MADHYA PRADESH,INDORE
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. SHARMA ABHISHEK,MADHYA PRADESH,BHOPAL
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR RAJEE KUMAR,BIHAR,SIWAN
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. RATH ANITA,ODISHA,KHORDHA
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGARWAL ANIL,HARYANA,GURGAON
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. AGARWAL BIPLAV,HARYANA,GURGAON
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. DADU NIVEDITA,DELHI,WEST DELHI
Fungal infection,itching, skin_rash, nodal_skin_eruptions,dermatologist,DR. JANGID,DELHI,NEW DELHI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. AAMIR RIYAZ,MAHARASHTRA,NAGPUR
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. ADATIA RUPA PAWAN,MAHARASHTRA,NAGPUR
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. DANDALE AMEET,MAHARASHTRA,MUMBAI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. KAPOOR RINKY,MAHARASHTRA,MUMBAI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. TALATHI ABHAY,MAHARASHTRA,MUMBAI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. JAIN S.K.,RAJASTHAN,KOTA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. AGARWAL SATISH,UTTAR PRADESH,AGRA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. AGRAWAL NEERAJ KUMAR,UTTAR PRADESH,VARANASI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. BANSAL MANISH,UTTAR PRADESH,VARANASI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. PANDEY S.S.,UTTAR PRADESH,VARANASI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. SHARMA LATA,UTTAR PRADESH,VARANASI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. SINGH SANJAY,UTTAR PRADESH,VARANASI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. SINGH SATYENDRA KUMAR,UTTAR PRADESH,VARANASI
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. LAHIRI KOUSHIK,WEST BENGAL,KOLKATA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. AKOLKAR SANDIP A.,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. BARDOLIWALA CHIRAYU,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. BHATTI MITESH D.,GUJARAT,RAJKOT
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. BHAVSAR DEEPAK,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. DESAI HEMANG N.,GUJARAT,RAJKOT
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. DESAI NILAM,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. DHANANI JAYSHREE D.,GUJARAT,RAJKOT
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. DHOPTE MAHENDRA,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. JAIN VIVEK,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. JIGNASU NIRMAL P.,GUJARAT,VADODARA
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,dermatologist,DR. KHANDAR MALTI,GUJARAT,VADODARA
